model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
"17-31A, (prior '78=8 gal less fuel + 6 mph less)",Piston,300,184,169,59,74,1210,1913,1473,3650,2247,330,402,720,1850000
100 Darter (S.L. Industries),Piston,285,179,168,52,74,10303,2040,1450,3600,2195,330,402,697,1660000
"17-30A, (1979 & up; 1993 & up + 5 mph; IO-550 +6 mph)",Piston,285,177,170,56,50,1015,1525,1240,3600,1980,316,394,510,1600000
100 Darter (S.L. Industries),Piston,285,217,200,55,50,1225,1320,1177,3400,2027,316,401,600,2950000
17-30-300 Viking (Continental eng),Piston,285,182,172,51,74,11673,1769,1324,3400,2286.5,317,402,717,1785800
100 Darter (S.L. Industries),Piston,285,183,177,55,44,1136,1320,1177,3400,1960,316,401,536,1750000
14-19-2 Cruisemaster,Piston,285,209,195,55,50,1225,1320,1177,3400,1950,316,401,580,2660000
100 Darter (S.L. Industries),Piston,285,183,177,55,50,1136,1320,1177,3400,1915,316,401,543,1750000
14-13 Cruiseair Sr.,Piston,285,184,178,54,50,1200,1225,1150,3300,1915,316,401,543,1830000
55 (1984-'85),Piston,260,178,170,52,50,1150,1260,1100,3125,1855,302,401,535,1920000
55 (thru 1983),Piston,250,183,170,52,49,1170,1185,1050,2950,1832,301,401,495,2000000
100 Darter (S.L. Industries),Piston,250,183,174,50,39,1250,1175,1050,2900,1820,301,393,492,2130000
100 Darter (S.L. Industries),Piston,240,179,165,50,39,1225,1260,1050,2900,1820,301,393,470,1980000
"36 A (prior'82 = gross weight @ 18,000)",Piston,225,169,160,48,39,1300,1270,1025,2775,1722,301,393,550,1900000
36,Piston,205,165,152,48,39,1100,1500,975,2700,1650,301,393,510,1800000
100 Darter (S.L. Industries),Piston,196,160,148,49,39,890,1515,950,2650,1575,301,393,470,1710000
100 Darter (S.L. Industries),Piston,185,160,150,48,39,950,1440,925,2550,1458,301,393,530,1800000
100 Darter (S.L. Industries),Piston,260,177,168,49,50,1060,1516,1150,3300,1935,305,393,513,1660000
28 Longhorn,Piston,285,181,174,53,50,1200,1225,1150,3300,1918,306,393,520,1830000
"25 D,F w/6 engs=45,000 service ceiling (prior '82 more rate of climb)",Piston,285,182,172,51,74,11673,1769,1324,3400,2125,320,402,717,1785800
100 Darter (S.L. Industries),Piston,285,181,174,53,50,1200,1225,1150,3300,1915,306,394,520,1830000
25 C (1973 thru 1975),Piston,225,170,161,52,50,930,1288,1298,3050,1862,306,394,520,1780000
100 Darter (S.L. Industries),Piston,285,181,174,53,50,1200,1225,1150,3300,1775,306,394,520,1830000
"24 F (w/8A engs=51,000 service ceil)",Piston,225,170,161,52,50,980,1288,1298,3050,1854,306,394,568,1830000
100 Darter (S.L. Industries),Piston,225,170,161,52,50,960,1235,1282,3000,1745,306,394,568,1840000
24 D (1973 thru 1975),Piston,225,170,161,52,50,1010,1235,1282,2900,1730,305,392,550,1980000
100 Darter (S.L. Industries),Piston,200,145,137,60,57,927,1561,1462,2750,1696,309,393,647,1538500
24 C,Piston,200,140,131,55,52,891,1804,1519,2750,1711,308,393,591,1434200
100 Darter (S.L. Industries),Piston,200,148,141,57,58,862,1630,1380,2750,1610,308,393,704,1435000
24 Twin Jet,Piston,200,137,130,52,60,880,1380,1300,2550,1410,301,391,643,1485000
100 Darter (S.L. Industries),Piston,180,128,116,51,57,792,1955,1484,2450,1494,309,393,565,1260000
100 Darter (S.L. Industries),Piston,180,127,120,50,60,728,1460,1260,2400,1375,301,391,565,1187000
650 Citation VII,Piston,165,127,120,50,60,880,1460,1260,2350,1325,301,391,565,1187000
650 Citation VI,Piston,160,123,111,52,60,720,1275,1260,2300,1300,301,391,800,1350000
100 Darter (S.L. Industries),Piston,150,110,107,50,57,680,1635,1693,2150,1414,309,393,643,1165000
650 Citation III (thru SN 099),Piston,150,122,114,48,60,900,1255,1220,2200,1325,301,391,800,1490000
100 Darter (S.L. Industries),Piston,115,106,97,47,29,720,1280,1313,1675,1103,288,360,370,1290000
100 Darter (S.L. Industries),Piston,300,193,187,61,68,1170,1420,1340,3325,2372,316,410,760,2400000
100 Darter (S.L. Industries),Piston,300,174,165,61,68,1170,1420,1340,3325,2247,316,410,483,1820000
S550 Citation SII,Piston,250,193,187,54,72,1800,890,1100,3200,2010,283,410,760,2400000
Citation II 550 (thru SN 626),Piston,300,181,176,61,68,1210,1420,1340,3325,2185,316,410,550,2000000
100 Darter (S.L. Industries),Piston,300,166,163,61,60,1085,1420,1340,3325,2217,316,410,550,1700000
Citation CJ3 525B,Piston,300,167,163,54,58,1840,890,1050,3200,1900,283,410,550,2100000
100 Darter (S.L. Industries),Piston,260,181,177,54,58,1500,990,825,3000,1750,282,410,639,2250000
100 Darter (S.L. Industries),Piston,230,179,170,42,40,1400,1025,1150,2700,1640,273,410,452,2000000
Citation I 500,Piston,190,174,157,38,40,1250,1270,1025,2600,1575,276,410,435,2150000
100 Darter (S.L. Industries),Piston,150,147,130,38,40,1100,1350,975,2100,1520,254,410,591,1950000
402C Business Liner II,Jet,3700,455,417,56,6707,4059,5600,3300,21500,12135,661,525,1715,5100000
"402,-A turbocharged",Jet,3700,457,169,56,6707,4380,4540,3109,19500,12130,661,525,1715,5100000
100 Darter (S.L. Industries),Jet,8650,480,442,56,16665,4200,5400,3300,43250,19950,821,742,3391,4100000
100 Darter (S.L. Industries),Jet,7500,480,442,56,14890,3400,5700,3300,41400,18660,821,742,2991,4100000
T 310 P turbocharged,Jet,3500,491,460,99,7400,4340,4972,3075,18300,9838,584,474,2289,4500000
310 Q,Jet,3500,477,441,105,7431,5100,4080,3105,17000,8802,583,473,2289,4500000
100 Darter (S.L. Industries),Jet,3500,471,460,99,6198,4760,4972,3075,18300,9838,584,474,1818,4500000
100 Darter (S.L. Industries),Jet,3500,477,441,105,6171,5100,4080,3105,17000,8762,583,473,1818,4500000
100 Darter (S.L. Industries),Jet,2950,478,441,79,5373,6110,2880,2220,15000,8157,571,525,1546,4790000
"310,-A",Jet,2950,475,441,79,4704,6350,2630,2220,15000,8195,571,525,1450,4880000
"T 337 G-P II,H-P, Skymaster pressurized",Jet,2950,464,459,97,6098,6830,3937,2817,15000,7950,571,427,1431,5100000
100 Darter (S.L. Industries),Jet,2950,464,441,104,6098,6050,5186,3090,15000,7355,570,427,1450,4500000
T 337 E & F Skymaster turbocharged,Jet,2950,464,441,104,7464,6050,5186,3090,15000,7233,570,427,1525,4500000
100 Darter (S.L. Industries),Jet,2950,477,442,90,6098,6050,5186,2703,15000,7206,570,426,1385,4500000
T 337 C Skymaster turbocharged,Jet,2950,475,441,88,5628,7100,3297,2873,13500,7130,519,426,1001,4500000
100 Darter (S.L. Industries),Jet,2950,477,441,88,4791,7220,3000,2789,12900,7025,519,426,730,4500000
"337 G,H II Skymaster (prior '79 service ceiling=18,000)",Jet,2950,464,441,99,5628,6800,3917,2800,13500,6988,519,427,1001,4500000
100 Darter (S.L. Industries),Jet,2950,477,442,87,840,6800,3917,2703,13500,6803,519,426,1001,4500000
337 E Skymaster,Jet,2950,461,442,88,715,6900,3370,2850,12500,6519,519,426,1385,4500000
100 Darter (S.L. Industries),Jet,2950,474,437,88,834,6300,3100,3307,13500,6927,519,427,1001,4500000
337 C Skymaster,Jet,2850,469,417,90,847,6300,3100,3350,13000,7090,518,427,1100,4100000
100 Darter (S.L. Industries),Jet,2850,488,423,89,828,6900,2940,2800,12500,6700,518,427,1000,4100000
208 Caravan-675,Jet,6400,92,511,56,13000,3720,5710,3820,35700,21400,866,765,3250,5100000
